Level, Index, Time, Algorithms
expert,401,0.000015,Backtrack Algorithm
expert,402,0.237608,Backtrack Algorithm
expert,403,0.005608,Backtrack Algorithm
expert,404,0.017248,Backtrack Algorithm
expert,405,0.001251,Backtrack Algorithm
expert,406,0.000601,Backtrack Algorithm
expert,407,0.002539,Backtrack Algorithm
expert,408,0.034854,Backtrack Algorithm
expert,409,0.002885,Backtrack Algorithm
expert,410,0.001219,Backtrack Algorithm
expert,411,0.022991,Backtrack Algorithm
expert,412,0.001454,Backtrack Algorithm
expert,413,0.319692,Backtrack Algorithm
expert,414,0.009004,Backtrack Algorithm
expert,415,0.008394,Backtrack Algorithm
expert,416,0.002072,Backtrack Algorithm
expert,417,0.000894,Backtrack Algorithm
expert,418,0.002498,Backtrack Algorithm
expert,419,0.007340,Backtrack Algorithm
expert,420,0.001192,Backtrack Algorithm
expert,421,0.002280,Backtrack Algorithm
expert,422,0.812801,Backtrack Algorithm
expert,423,0.001525,Backtrack Algorithm
expert,424,0.075812,Backtrack Algorithm
expert,425,0.033794,Backtrack Algorithm
expert,426,0.003497,Backtrack Algorithm
expert,427,0.005726,Backtrack Algorithm
expert,428,0.002033,Backtrack Algorithm
expert,429,0.023299,Backtrack Algorithm
expert,430,0.003564,Backtrack Algorithm
expert,431,0.000191,Backtrack Algorithm
expert,432,0.112322,Backtrack Algorithm
expert,433,0.089946,Backtrack Algorithm
expert,434,0.014882,Backtrack Algorithm
expert,435,0.000810,Backtrack Algorithm
expert,436,0.003057,Backtrack Algorithm
expert,437,0.000433,Backtrack Algorithm
expert,438,0.011542,Backtrack Algorithm
expert,439,0.007909,Backtrack Algorithm
expert,440,0.000168,Backtrack Algorithm
expert,441,0.016490,Backtrack Algorithm
expert,442,0.010275,Backtrack Algorithm
expert,443,0.007207,Backtrack Algorithm
expert,444,0.028776,Backtrack Algorithm
expert,445,0.083286,Backtrack Algorithm
expert,446,0.004955,Backtrack Algorithm
expert,447,0.000198,Backtrack Algorithm
expert,448,0.000069,Backtrack Algorithm
expert,449,0.047391,Backtrack Algorithm
expert,450,0.011750,Backtrack Algorithm
expert,451,0.047123,Backtrack Algorithm
expert,452,0.012207,Backtrack Algorithm
expert,453,0.120053,Backtrack Algorithm
expert,454,0.007072,Backtrack Algorithm
expert,455,0.077482,Backtrack Algorithm
expert,456,0.006110,Backtrack Algorithm
expert,457,0.012307,Backtrack Algorithm
expert,458,0.010517,Backtrack Algorithm
expert,459,0.183317,Backtrack Algorithm
expert,460,0.001583,Backtrack Algorithm
expert,461,0.017998,Backtrack Algorithm
expert,462,0.000373,Backtrack Algorithm
expert,463,0.001189,Backtrack Algorithm
expert,464,0.006833,Backtrack Algorithm
expert,465,0.004999,Backtrack Algorithm
expert,466,0.015687,Backtrack Algorithm
expert,467,0.012903,Backtrack Algorithm
expert,468,0.043651,Backtrack Algorithm
expert,469,0.015494,Backtrack Algorithm
expert,470,0.000889,Backtrack Algorithm
expert,471,0.013480,Backtrack Algorithm
expert,472,0.006150,Backtrack Algorithm
expert,473,0.000190,Backtrack Algorithm
expert,474,0.006435,Backtrack Algorithm
expert,475,0.006210,Backtrack Algorithm
expert,476,0.000499,Backtrack Algorithm
expert,477,0.186754,Backtrack Algorithm
expert,478,0.000869,Backtrack Algorithm
expert,479,0.015550,Backtrack Algorithm
expert,480,0.001369,Backtrack Algorithm
expert,481,0.000564,Backtrack Algorithm
expert,482,0.001306,Backtrack Algorithm
expert,483,0.118451,Backtrack Algorithm
expert,484,0.011559,Backtrack Algorithm
expert,485,0.001031,Backtrack Algorithm
expert,486,0.000723,Backtrack Algorithm
expert,487,0.000973,Backtrack Algorithm
expert,488,0.001981,Backtrack Algorithm
expert,489,0.001242,Backtrack Algorithm
expert,490,0.000678,Backtrack Algorithm
expert,491,0.000235,Backtrack Algorithm
expert,492,0.000520,Backtrack Algorithm
expert,493,0.015640,Backtrack Algorithm
expert,494,0.001384,Backtrack Algorithm
expert,495,0.001805,Backtrack Algorithm
expert,496,0.000641,Backtrack Algorithm
expert,497,0.001203,Backtrack Algorithm
expert,498,0.122717,Backtrack Algorithm
expert,499,0.037466,Backtrack Algorithm
expert,500,0.005659,Backtrack Algorithm
expert,501,0.041218,Backtrack Algorithm
expert,502,0.000336,Backtrack Algorithm
expert,503,0.001237,Backtrack Algorithm
expert,504,0.000699,Backtrack Algorithm
expert,505,0.008976,Backtrack Algorithm
expert,506,0.000677,Backtrack Algorithm
expert,507,0.003100,Backtrack Algorithm
expert,508,0.098967,Backtrack Algorithm
expert,509,0.111553,Backtrack Algorithm
expert,510,0.004766,Backtrack Algorithm
expert,511,0.001063,Backtrack Algorithm
expert,512,0.005627,Backtrack Algorithm
expert,513,0.000992,Backtrack Algorithm
expert,514,0.014550,Backtrack Algorithm
expert,515,0.022863,Backtrack Algorithm
expert,516,0.001006,Backtrack Algorithm
expert,517,0.066873,Backtrack Algorithm
expert,518,0.005539,Backtrack Algorithm
expert,519,0.000847,Backtrack Algorithm
expert,520,0.021018,Backtrack Algorithm
expert,521,0.001910,Backtrack Algorithm
expert,522,0.205731,Backtrack Algorithm
expert,523,0.007274,Backtrack Algorithm
expert,524,0.000227,Backtrack Algorithm
expert,525,0.001320,Backtrack Algorithm
expert,526,0.003735,Backtrack Algorithm
expert,527,0.040056,Backtrack Algorithm
expert,528,0.000744,Backtrack Algorithm
expert,529,0.000537,Backtrack Algorithm
expert,530,0.188035,Backtrack Algorithm
expert,531,0.000101,Backtrack Algorithm
expert,532,0.002289,Backtrack Algorithm
expert,533,0.000525,Backtrack Algorithm
expert,534,0.003956,Backtrack Algorithm
